Path,Owners,Online?,PS (2p0E34),Datasets (SmartPS),Streams,L1T Seed
HLT_ZeroBias_FirstCollisionAfterAbortGap_v13,AlCa& Tracker,Yes,1,ExpressPhysics& OnlineMonitor& ZeroBias,DQM& Express& PhysicsCommissioning,L1_FirstCollisionInOrbit
HLT_ZeroBias_FirstCollisionInTrain_v12,TSG,Yes,1,OnlineMonitor& ZeroBias,DQM& PhysicsCommissioning,L1_FirstCollisionInTrain AND (NOT L1_FirstCollisionInOrbit)
HLT_ZeroBias_LastCollisionInTrain_v11,TSG,Yes,1,OnlineMonitor& ZeroBias,DQM& PhysicsCommissioning,L1_LastCollisionInTrain
HLT_HT300_Beamspot_v25,TRK,Yes,80,DQMOnlineBeamspot& ExpressAlignment,DQMOnlineBeamspot& ExpressAlignment,L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er OR L1_SingleJet120 OR L1_SingleJet140er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet40er2p5 OR L1_DoubleJet100er2p5 OR L1_DoubleJet120er2p5
HLT_PFJet40_GPUvsCPU_v8,TSG,Yes,1,Commissioning,PhysicsCommissioning,
HLT_AK8PFJet380_SoftDropMass30_v8,B2G& HIG,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFJet400_SoftDropMass30_v8,B2G& HIG,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFJet425_SoftDropMass30_v8,B2G& HIG,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8PFJet450_SoftDropMass30_v8,B2G& HIG,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet250_250_SoftDropMass40_v8,B2G,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet250_250_SoftDropMass50_v8,B2G,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet260_260_SoftDropMass30_v8,B2G,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet260_260_SoftDropMass40_v8,B2G,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet270_270_SoftDropMass30_v8,B2G,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet280_280_SoftDropMass30_v14,B2G,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_AK8DiPFJet290_290_SoftDropMass30_v8,B2G,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_CaloJet500_NoJetID_v24,TOP,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_CaloJet550_NoJetID_v19,EGM& EXO,Yes,1,JetMET0& JetMET1& OnlineMonitor,DQM& PhysicsJetMET0& PhysicsJetMET1,L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
