Path,Emergency,EmittanceScan,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p95E34,1p9E34,1p85E34,1p8E34,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,Backup1,Backup2,HIon,PRef
HLT_HIUPC_ZDC1nAsymXOR_MBHF1AND_PixelTrackMultiplicity20_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF1AND_PixelTrackMultiplicity30_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF1AND_PixelTrackMultiplicity40_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF2AND_PixelTrackMultiplicity20_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF2AND_PixelTrackMultiplicity30_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nAsymXOR_MBHF2AND_PixelTrackMultiplicity40_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1OR_SameSide_PixelTrackMultiplicity20_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1OR_SameSide_PixelTrackMultiplicity30_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1OR_SameSide_PixelTrackMultiplicity40_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2OR_SameSide_PixelTrackMultiplicity20_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2OR_SameSide_PixelTrackMultiplicity30_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2OR_SameSide_PixelTrackMultiplicity40_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1AsymXOR_SameSide_PixelTrackMultiplicity20_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1AsymXOR_SameSide_PixelTrackMultiplicity30_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF1AsymXOR_SameSide_PixelTrackMultiplicity40_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2XOR_SameSide_PixelTrackMultiplicity20_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2XOR_SameSide_PixelTrackMultiplicity30_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_ZDC1nXOR_MBHF2XOR_SameSide_PixelTrackMultiplicity40_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuCosmic_BptxAND_MaxPixelCluster1000_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleMuCosmic_NotMBHF2AND_v11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
