Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34_NoAXO,2p0E34_OnlyMuons,2p0E34_NoMuShower,2p0E34_NoEcalTiming,HIon,PRef
HLT_DiPFJetAve160_HFJEC_v24,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve220_HFJEC_v24,0,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_DiPFJetAve260_HFJEC_v7,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve300_HFJEC_v24,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve180_PPSMatch_Xi0p3_QuadJet_Max2ProtPerRP_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet40_v24,0,250,250,250,250,250,250,250,250,0,250,250,1,0
HLT_AK8PFJet60_v23,0,24,24,24,24,24,24,24,24,0,24,24,1,0
HLT_AK8PFJet80_v24,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_AK8PFJet140_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet200_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet260_v24,0,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_AK8PFJet320_v24,0,48,48,48,48,48,48,48,48,0,48,48,1,0
HLT_AK8PFJet400_v24,0,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_AK8PFJet450_v24,0,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_AK8PFJet500_v24,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet550_v19,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet40_v29,0,30,30,30,30,30,30,30,30,0,30,30,1,0
HLT_PFJet60_v29,0,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_PFJet80_v29,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet110_v8,0,3,3,3,3,3,3,3,3,0,3,3,1,0
HLT_PFJet140_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet200_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet260_v28,0,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_PFJet320_v28,0,32,32,32,32,32,32,32,32,0,32,32,1,0
HLT_PFJet400_v28,0,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_PFJet450_v29,0,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_PFJet500_v29,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet550_v19,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd40_v27,0,25,25,25,25,25,25,25,25,0,25,25,1,0
HLT_PFJetFwd60_v27,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_PFJetFwd80_v26,0,3,3,3,3,3,3,3,3,0,3,3,1,0
HLT_PFJetFwd140_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd200_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd260_v27,0,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_PFJetFwd320_v27,0,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_PFJetFwd400_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd450_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd500_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJetFwd40_v23,0,750,750,750,750,750,750,750,750,0,750,750,1,0
HLT_AK8PFJetFwd60_v22,0,5,5,5,5,5,5,5,5,0,5,5,1,0
HLT_AK8PFJetFwd80_v22,0,9,9,9,9,9,9,9,9,0,9,9,1,0
HLT_AK8PFJetFwd140_v22,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_AK8PFJetFwd200_v22,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJetFwd260_v23,0,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_AK8PFJetFwd320_v23,0,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_AK8PFJetFwd400_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJetFwd450_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJetFwd500_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT180_v25,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT250_v25,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT370_v25,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT430_v25,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT510_v25,0,256,256,256,256,256,256,256,256,0,256,256,1,0
HLT_PFHT590_v25,0,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_PFHT680_v25,0,64,64,64,64,64,64,64,64,0,64,64,1,0
HLT_PFHT780_v25,0,32,32,32,32,32,32,32,32,0,32,32,1,0
HLT_PFHT890_v25,0,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_PFHT1050_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT500_PFMET100_PFMHT100_IDTight_v20,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT500_PFMET110_PFMHT110_IDTight_v20,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT700_PFMET85_PFMHT85_IDTight_v20,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT800_PFMET75_PFMHT75_IDTight_v20,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET120_PFMHT120_IDTight_v28,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET130_PFMHT130_IDTight_v28,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET140_PFMHT140_IDTight_v28,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET120_PFMHT120_IDTight_PFHT60_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETTypeOne140_PFMHT140_IDTight_v19,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v28,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_FilterHF_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_FilterHF_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_FilterHF_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_FilterHF_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L1ETMHadSeeds_v8,0,1024,1024,1024,1024,1024,1024,1024,1024,0,1024,1024,1,0
HLT_CaloMHT90_v12,0,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_CaloMET90_NotCleaned_v12,0,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_CaloMET350_NotCleaned_v12,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET200_NotCleaned_v17,0,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_PFMET250_NotCleaned_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET300_NotCleaned_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET200_BeamHaloCleaned_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETTypeOne200_BeamHaloCleaned_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_MET105_IsoTrk50_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_MET120_IsoTrk50_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu12eta2p3_v9,0,20,20,20,20,20,20,20,20,0,20,20,1,0
HLT_Mu12eta2p3_PFJet40_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu12_DoublePFJets40_PNetBTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu12_DoublePFJets100_PNetBTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu12_DoublePFJets200_PNetBTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu12_DoublePFJets350_PNetBTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu12_DoublePFJets40MaxDeta1p6_PNet2BTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu12_DoublePFJets54MaxDeta1p6_PNet2BTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoublePFJets40_PNetBTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoublePFJets100_PNetBTag_0p11_v2,0,2,2,2,2,2,2,2,2,0,2,2,1,0
