Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34_NoAXO,2p0E34_OnlyMuons,2p0E34_NoMuShower,2p0E34_NoEcalTiming,HIon,PRef
HLT_SingleEle8_SingleEGL1_v7,0,10,10,10,10,10,10,10,10,0,10,10,1,0
HLT_Diphoton20_14_eta1p5_R9IdL_AND_HE_AND_IsoTCaloIdT_v8,0,100,100,100,100,100,100,100,100,0,100,100,1,0
HLT_Diphoton20_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT_v8,0,100,100,100,100,100,100,100,100,0,100,100,1,0
HLT_Diphoton22_14_eta1p5_R9IdL_AND_HE_AND_IsoTCaloIdT_v8,0,100,100,100,100,100,100,100,100,0,100,100,1,0
HLT_Diphoton22_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Diphoton24_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Diphoton24_16_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu50_L1SingleMuShower_v7,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_IsoMu24_OneProng32_v5,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Photon32_OneProng32_M50To105_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_OneProng_v4,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS30_L2NN_eta2p1_OneProng_CrossL1_v4,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet125_45_Mjj1050_v4,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet125_45_Mjj1200_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet75_45_Mjj800_DiPFJet60_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet75_45_Mjj850_DiPFJet60_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet80_45_Mjj650_PFMETNoMu85_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet80_45_Mjj750_PFMETNoMu85_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet95_45_Mjj750_Mu3_TrkIsoVVL_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet95_45_Mjj850_Mu3_TrkIsoVVL_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet50_Mjj650_Photon22_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet50_Mjj750_Photon22_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet50_Mjj600_Ele22_eta2p1_WPTight_Gsf_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet50_Mjj650_Ele22_eta2p1_WPTight_Gsf_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet45_Mjj650_MediumDeepTauPFTauHPS45_L2NN_eta2p1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet45_Mjj750_MediumDeepTauPFTauHPS45_L2NN_eta2p1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DoublePNetTauhPFJet20_eta2p2_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet45_Mjj650_PNetTauhPFJet45_L2NN_eta2p3_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DiPFJet45_Mjj750_PNetTauhPFJet45_L2NN_eta2p3_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet200_TimeLtNeg2p5ns_v6,0,100,100,100,100,100,100,100,100,0,100,100,1,0
HLT_PFJet200_TimeGt2p5ns_v6,0,1,1,1,1,1,1,1,1,0,1,0,1,0
HLT_Photon50_TimeLtNeg2p5ns_v5,0,25,25,25,25,25,25,25,25,0,25,25,1,0
HLT_Photon50_TimeGt2p5ns_v5,0,5,5,5,5,5,5,5,5,0,5,5,1,0
HLT_PPSMaxTracksPerArm1_v7,7,7,7,7,7,7,7,7,7,7,7,7,1,1
HLT_PPSMaxTracksPerRP4_v7,12,12,12,12,12,12,12,12,12,12,12,12,1,1
HLT_PPSRandom_v1,3,3,3,3,3,3,3,3,3,3,3,3,1,1
MC_ReducedIterativeTracking_v20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_AK4CaloJets_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_AK4CaloJetsFromPV_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CaloHT_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_AK8CaloHT_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CaloMHT_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_AK4PFJets_v25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_PFHT_v24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_AK8PFJets_v25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_AK8PFHT_v24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CaloMET_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CaloMET_JetIdCleaned_v17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_PFMET_v25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_PFMHT_v24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_AK4PFJetPNet_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_AK8PFJetPNet_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_Egamma_Open_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_Egamma_Open_Unseeded_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_Ele5_WPTight_Gsf_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_Ele15_Ele10_CaloIdL_TrackIdL_IsoVL_DZ_v23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_Diphoton10_10_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass10_v21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_DoubleEle5_CaloIdL_MW_v24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_IsoMu_v23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_DoubleMu_TrkIsoVVL_DZ_v19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_DoubleMuNoFiltersNoVtx_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_PFScouting_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_L1AXOVTight_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLTriggerFinalPath,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaLowPtJet,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaLumiPixelsCountsExpress,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaLumiPixelsCountsPrompt,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaP0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaPPSExpress,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaPPSPrompt,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_AlCaPhiSym,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_BTagMu,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_Commissioning,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_Cosmics,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_DQMGPUvsCPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_DQMOnlineBeamspot,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_DQMPPSRandom,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_DisplacedJet,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_EGamma0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dataset_EGamma1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dataset_EcalLaser,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_EphemeralHLTPhysics0,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralHLTPhysics1,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralHLTPhysics2,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralHLTPhysics3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralHLTPhysics4,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralHLTPhysics5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralHLTPhysics6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralHLTPhysics7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralZeroBias0,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralZeroBias1,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralZeroBias2,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralZeroBias3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralZeroBias4,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralZeroBias5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralZeroBias6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EphemeralZeroBias7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_EventDisplay,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ExpressAlignment,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ExpressPhysics,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_HLTMonitor,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_HLTPhysics,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_HcalNZS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_JetMET0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dataset_JetMET1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dataset_L1Accept,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_MonteCarlo,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_Muon0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dataset_Muon1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dataset_MuonEG,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_NoBPTX,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_OnlineMonitor,25,25,25,25,25,25,25,25,25,25,25,25,0,25
Dataset_ParkingDoubleMuonLowMass0,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingDoubleMuonLowMass1,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingDoubleMuonLowMass2,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingDoubleMuonLowMass3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingDoubleMuonLowMass4,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingDoubleMuonLowMass5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingDoubleMuonLowMass6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingDoubleMuonLowMass7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingHH,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ParkingLLP,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ParkingSingleMuon0,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingSingleMuon1,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingSingleMuon2,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingSingleMuon3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingSingleMuon4,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingSingleMuon5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingSingleMuon6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingSingleMuon7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingVBF0,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingVBF1,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingVBF2,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingVBF3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingVBF4,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingVBF5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingVBF6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_ParkingVBF7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dataset_RPCMonitor,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ScoutingPFMonitor,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ScoutingPFRun3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_Tau,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_TestEnablesEcalHcal,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_TestEnablesEcalHcalDQM,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dataset_ZeroBias,1,1,1,1,1,1,1,1,1,1,1,1,1,1
